VALUE,DIST_YEAR,DIST_TYPE,TYPE_CONFIDENCE,SEVERITY,SEV_SOURCE,SEV_CONFIDENCE,SOURCE1,SOURCE2,SOURCE3,SOURCE4,DESCRIPTION,R,G,B,RED,GREEN,BLUE
997,2016,Prescribed Fire,High,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Prescribed Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,173,0,28,0.678431,0,0.109804
1000,2016,Wildland Fire,High,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
1001,2016,Wildland Fire,High,Low,dNBR (Std Dev Breaks),Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Wildland Fire LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,255,0,0,1,0,0
1002,2016,Wildland Fire,High,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
1003,2016,Wildland Fire,High,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
1004,2016,Wildland Fire,High,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
1005,2016,Wildland Fire,High,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
1006,2016,Wildland Fire,High,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
1007,2016,Wildland Fire,High,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
1010,2016,Weather,Medium,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Weather LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,191,191,191,0.74902,0.74902,0.74902
1011,2016,Weather,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Weather LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,191,191,191,0.74902,0.74902,0.74902
1012,2016,Weather,Medium,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Weather LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,191,191,191,0.74902,0.74902,0.74902
1013,2016,Weather,Medium,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Weather LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,191,191,191,0.74902,0.74902,0.74902
1014,2016,Weather,Medium,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Weather LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,191,191,191,0.74902,0.74902,0.74902
1015,2016,Weather,Medium,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Weather LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,191,191,191,0.74902,0.74902,0.74902
1016,2016,Weather,Medium,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Weather LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,191,191,191,0.74902,0.74902,0.74902
1017,2016,Weather,Medium,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Weather LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,191,191,191,0.74902,0.74902,0.74902
1020,2016,Insecticide,Medium,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insecticide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,67,162,181,0.262745,0.635294,0.709804
1021,2016,Insecticide,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Insecticide LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,67,162,181,0.262745,0.635294,0.709804
1022,2016,Insecticide,Medium,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insecticide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,67,162,181,0.262745,0.635294,0.709804
1023,2016,Insecticide,Medium,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insecticide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,67,162,181,0.262745,0.635294,0.709804
1024,2016,Insecticide,Medium,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insecticide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,67,162,181,0.262745,0.635294,0.709804
1025,2016,Insecticide,Medium,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insecticide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,67,162,181,0.262745,0.635294,0.709804
1026,2016,Insecticide,Medium,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insecticide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,67,162,181,0.262745,0.635294,0.709804
1027,2016,Insecticide,Medium,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insecticide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,67,162,181,0.262745,0.635294,0.709804
1030,2016,Chemical,Medium,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Chemical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,0,1,1,0
1031,2016,Chemical,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Chemical LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,255,255,0,1,1,0
1032,2016,Chemical,Medium,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Chemical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,0,1,1,0
1033,2016,Chemical,Medium,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Chemical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,0,1,1,0
1034,2016,Chemical,Medium,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Chemical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,0,1,1,0
1035,2016,Chemical,Medium,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Chemical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,0,1,1,0
1036,2016,Chemical,Medium,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Chemical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,0,1,1,0
1037,2016,Chemical,Medium,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Chemical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,0,1,1,0
1040,2016,Insects,Medium,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,146,232,215,0.572549,0.909804,0.843137
1041,2016,Insects,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Insects LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,146,232,215,0.572549,0.909804,0.843137
1042,2016,Insects,Medium,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,146,232,215,0.572549,0.909804,0.843137
1043,2016,Insects,Medium,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,146,232,215,0.572549,0.909804,0.843137
1044,2016,Insects,Medium,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,146,232,215,0.572549,0.909804,0.843137
1045,2016,Insects,Medium,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,146,232,215,0.572549,0.909804,0.843137
1046,2016,Insects,Medium,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,146,232,215,0.572549,0.909804,0.843137
1047,2016,Insects,Medium,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,146,232,215,0.572549,0.909804,0.843137
1050,2016,Disease,Medium,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,4,45,117,0.015686,0.176471,0.458824
1051,2016,Disease,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Disease LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,4,45,117,0.015686,0.176471,0.458824
1052,2016,Disease,Medium,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,4,45,117,0.015686,0.176471,0.458824
1053,2016,Disease,Medium,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,4,45,117,0.015686,0.176471,0.458824
1054,2016,Disease,Medium,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,4,45,117,0.015686,0.176471,0.458824
1055,2016,Disease,Medium,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,4,45,117,0.015686,0.176471,0.458824
1056,2016,Disease,Medium,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,4,45,117,0.015686,0.176471,0.458824
1057,2016,Disease,Medium,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,4,45,117,0.015686,0.176471,0.458824
1060,2016,Insects/Disease,Medium,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects/Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,0,255,0,0,1
1061,2016,Insects/Disease,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Insects/Disease LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,0,0,255,0,0,1
1062,2016,Insects/Disease,Medium,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects/Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,0,255,0,0,1
1063,2016,Insects/Disease,Medium,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects/Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,0,255,0,0,1
1064,2016,Insects/Disease,Medium,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects/Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,0,255,0,0,1
1065,2016,Insects/Disease,Medium,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects/Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,0,255,0,0,1
1066,2016,Insects/Disease,Medium,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects/Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,0,255,0,0,1
1067,2016,Insects/Disease,Medium,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Insects/Disease LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,0,255,0,0,1
1070,2016,Herbicide,Medium,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Herbicide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,192,255,138,0.752941,1,0.541176
1071,2016,Herbicide,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Herbicide LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,192,255,138,0.752941,1,0.541176
1072,2016,Herbicide,Medium,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Herbicide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,192,255,138,0.752941,1,0.541176
1073,2016,Herbicide,Medium,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Herbicide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,192,255,138,0.752941,1,0.541176
1074,2016,Herbicide,Medium,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Herbicide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,192,255,138,0.752941,1,0.541176
1075,2016,Herbicide,Medium,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Herbicide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,192,255,138,0.752941,1,0.541176
1076,2016,Herbicide,Medium,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Herbicide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,192,255,138,0.752941,1,0.541176
1077,2016,Herbicide,Medium,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Herbicide LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,192,255,138,0.752941,1,0.541176
1080,2016,Biological,Medium,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Biological LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,51,0,0,0.2,0
1081,2016,Biological,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Biological LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,0,51,0,0,0.2,0
1082,2016,Biological,Medium,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Biological LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,51,0,0,0.2,0
1083,2016,Biological,Medium,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Biological LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,51,0,0,0.2,0
1084,2016,Biological,Medium,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Biological LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,51,0,0,0.2,0
1085,2016,Biological,Medium,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Biological LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,51,0,0,0.2,0
1086,2016,Biological,Medium,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Biological LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,51,0,0,0.2,0
1087,2016,Biological,Medium,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Biological LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,0,51,0,0,0.2,0
1101,2016,Unknown,NA,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0). ",122,127,117,0.4784,0.498,0.4588
1102,2016,Unknown,NA,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).",122,127,117,0.4784,0.498,0.4588
1103,2016,Unknown,NA,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).",122,127,117,0.4784,0.498,0.4588
1111,2016,Unknown,NA,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%).",122,127,117,0.4784,0.498,0.4588
1112,2016,Unknown,NA,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%).",122,127,117,0.4784,0.498,0.4588
1113,2016,Unknown,NA,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%).",122,127,117,0.4784,0.498,0.4588
1121,2016,Unknown,NA,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%).",122,127,117,0.4784,0.498,0.4588
1122,2016,Unknown,NA,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%).",122,127,117,0.4784,0.498,0.4588
1123,2016,Unknown,NA,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%).",122,127,117,0.4784,0.498,0.4588
1131,2016,Unknown,NA,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 3 or 4).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%).",122,127,117,0.4784,0.498,0.4588
1132,2016,Unknown,NA,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 3 or 4).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%).",122,127,117,0.4784,0.498,0.4588
1133,2016,Unknown,NA,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 3 or 4).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%).",122,127,117,0.4784,0.498,0.4588
